index,gloss,video_id,url
0,book,69241,http://aslbricks.org/New/ASL-Videos/book.mp4
1,book,07069,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4
2,book,07068,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4
3,book,07070,https://media.asldeafined.com/vocabulary/1466684225.687.mp4
4,book,07099,http://www.aslsearch.com/signs/videos/book.mp4
5,book,07074,https://www.signingsavvy.com/signs/mp4/14/14326.mp4
6,drink,69302,http://aslbricks.org/New/ASL-Videos/drink.mp4
7,drink,65539,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4
8,drink,17710,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4
9,drink,17733,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4
10,drink,65540,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4
11,drink,17734,http://www.aslsearch.com/signs/videos/drink.mp4
12,drink,17711,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4
13,drink,17712,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4
14,drink,17713,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4
15,drink,17709,https://media.spreadthesign.com/video/mp4/13/153289.mp4
16,drink,17720,https://www.signingsavvy.com/signs/mp4/14/14885.mp4
17,drink,17721,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
18,drink,17722,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
19,drink,17723,https://www.signingsavvy.com/signs/mp4/23/23389.mp4
20,drink,17724,https://www.signingsavvy.com/signs/mp4/7/7796.mp4
21,computer,12328,https://www.signingsavvy.com/signs/mp4/6/6326.mp4
22,computer,12312,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4
23,computer,12311,https://media.spreadthesign.com/video/mp4/13/51378.mp4
24,computer,12338,http://www.aslsearch.com/signs/videos/computer.mp4
25,computer,12313,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4
26,computer,12314,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4
27,computer,12315,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4
28,computer,12316,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4
29,computer,12317,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4
30,computer,12318,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4
